run,timestamp_s,mode,gap_ms,bytes_received,hex_bytes,result
1,0.0,keepopen,200,5,FF 09 02 00 F4,PARTIAL_5
2,0.3015,keepopen,200,6,FF FF 09 02 00 F4,OK
3,0.5028,keepopen,200,0,—,MISS
4,0.8041,keepopen,200,6,FF FF 09 02 00 F4,OK
5,1.0054,keepopen,200,0,—,MISS
6,1.3068,keepopen,200,5,FF 09 02 00 F4,PARTIAL_5
7,1.6082,keepopen,200,6,FF FF 09 02 00 F4,OK
8,1.8095,keepopen,200,5,FF 09 02 00 F4,PARTIAL_5
9,2.111,keepopen,200,6,FF FF 09 02 00 F4,OK
10,2.3123,keepopen,200,0,—,MISS
11,2.6135,keepopen,200,0,—,MISS
12,2.9148,keepopen,200,5,FF 09 02 00 F4,PARTIAL_5
13,3.2163,keepopen,200,6,FF FF 09 02 00 F4,OK
14,3.4176,keepopen,200,0,—,MISS
15,3.719,keepopen,200,5,FF 09 02 00 F4,PARTIAL_5
16,4.0204,keepopen,200,6,FF FF 09 02 00 F4,OK
17,4.2217,keepopen,200,0,—,MISS
18,4.5231,keepopen,200,5,FF 09 02 00 F4,PARTIAL_5
19,4.8246,keepopen,200,5,FF 09 02 00 F4,PARTIAL_5
20,5.1261,keepopen,200,5,FF 09 02 00 F4,PARTIAL_5
21,5.4275,keepopen,200,0,—,MISS
22,5.7288,keepopen,200,6,FF FF 09 02 00 F4,OK
23,5.9301,keepopen,200,0,—,MISS
24,6.2314,keepopen,200,0,—,MISS
25,6.5328,keepopen,200,5,FF 09 02 00 F4,PARTIAL_5
26,6.8342,keepopen,200,6,FF FF 09 02 00 F4,OK
27,7.0355,keepopen,200,0,—,MISS
28,7.3368,keepopen,200,5,FF 09 02 00 F4,PARTIAL_5
29,7.6381,keepopen,200,5,FF 09 02 00 F4,PARTIAL_5
30,7.9394,keepopen,200,6,FF FF 09 02 00 F4,OK
31,8.1408,keepopen,200,0,—,MISS
32,8.4423,keepopen,200,6,FF FF 09 02 00 F4,OK
33,8.6436,keepopen,200,0,—,MISS
34,8.945,keepopen,200,5,FF 09 02 00 F4,PARTIAL_5
35,9.2463,keepopen,200,6,FF FF 09 02 00 F4,OK
36,9.4476,keepopen,200,0,—,MISS
37,9.749,keepopen,200,5,FF 09 02 00 F4,PARTIAL_5
38,10.0504,keepopen,200,0,—,MISS
39,10.3517,keepopen,200,5,FF 09 02 00 F4,PARTIAL_5
40,10.6531,keepopen,200,6,FF FF 09 02 00 F4,OK
41,10.8544,keepopen,200,0,—,MISS
42,11.1558,keepopen,200,6,FF FF 09 02 00 F4,OK
43,11.3571,keepopen,200,0,—,MISS
44,11.6584,keepopen,200,5,FF 09 02 00 F4,PARTIAL_5
45,11.9598,keepopen,200,5,FF 09 02 00 F4,PARTIAL_5
46,12.2612,keepopen,200,0,—,MISS
47,12.5624,keepopen,200,6,FF FF 09 02 00 F4,OK
48,12.7637,keepopen,200,5,FF 09 02 00 F4,PARTIAL_5
49,13.0651,keepopen,200,5,FF 09 02 00 F4,PARTIAL_5
50,13.3664,keepopen,200,5,FF 09 02 00 F4,PARTIAL_5
51,13.6682,keepopen,200,5,FF 09 02 00 F4,PARTIAL_5
52,13.9695,keepopen,200,6,FF FF 09 02 00 F4,OK
53,14.1708,keepopen,200,0,—,MISS
54,14.4722,keepopen,200,6,FF FF 09 02 00 F4,OK
55,14.6734,keepopen,200,0,—,MISS
56,14.975,keepopen,200,5,FF 09 02 00 F4,PARTIAL_5
57,15.2765,keepopen,200,6,FF FF 09 02 00 F4,OK
58,15.4778,keepopen,200,0,—,MISS
59,15.7791,keepopen,200,6,FF FF 09 02 00 F4,OK
60,15.9804,keepopen,200,0,—,MISS
61,16.2818,keepopen,200,5,FF 09 02 00 F4,PARTIAL_5
62,16.5832,keepopen,200,5,FF 09 02 00 F4,PARTIAL_5
63,16.8845,keepopen,200,5,FF 09 02 00 F4,PARTIAL_5
64,17.1859,keepopen,200,6,FF FF 09 02 00 F4,OK
65,17.3871,keepopen,200,0,—,MISS
66,17.6884,keepopen,200,6,FF FF 09 02 00 F4,OK
67,17.8897,keepopen,200,5,FF 09 02 00 F4,PARTIAL_5
68,18.1914,keepopen,200,5,FF 09 02 00 F4,PARTIAL_5
69,18.493,keepopen,200,5,FF 09 02 00 F4,PARTIAL_5
70,18.7944,keepopen,200,5,FF 09 02 00 F4,PARTIAL_5
71,19.0959,keepopen,200,5,FF 09 02 00 F4,PARTIAL_5
72,19.3972,keepopen,200,6,FF FF 09 02 00 F4,OK
73,19.5985,keepopen,200,0,—,MISS
74,19.8998,keepopen,200,6,FF FF 09 02 00 F4,OK
75,20.1011,keepopen,200,0,—,MISS
76,20.4024,keepopen,200,6,FF FF 09 02 00 F4,OK
77,20.6036,keepopen,200,0,—,MISS
78,20.9052,keepopen,200,5,FF 09 02 00 F4,PARTIAL_5
79,21.2066,keepopen,200,5,FF 09 02 00 F4,PARTIAL_5
80,21.5082,keepopen,200,6,FF FF 09 02 00 F4,OK
81,21.7095,keepopen,200,0,—,MISS
82,22.0108,keepopen,200,5,FF 09 02 00 F4,PARTIAL_5
83,22.3121,keepopen,200,5,FF 09 02 00 F4,PARTIAL_5
