run,timestamp_s,mode,gap_ms,bytes_received,hex_bytes,result
1,0.0011,reopen,200,0,—,MISS
2,0.3045,reopen,200,0,—,MISS
3,0.6077,reopen,200,6,FF FF 09 02 00 F4,OK
4,0.8107,reopen,200,6,FF FF 09 02 00 F4,OK
5,1.0137,reopen,200,6,FF FF 09 02 00 F4,OK
6,1.2165,reopen,200,6,FF FF 09 02 00 F4,OK
7,1.4196,reopen,200,0,—,MISS
8,1.7227,reopen,200,6,FF FF 09 02 00 F4,OK
9,1.9255,reopen,200,0,—,MISS
10,2.2286,reopen,200,0,—,MISS
11,2.5317,reopen,200,6,FF FF 09 02 00 F4,OK
12,2.7347,reopen,200,6,FF FF 09 02 00 F4,OK
13,2.9375,reopen,200,6,FF FF 09 02 00 F4,OK
14,3.1403,reopen,200,6,FF FF 09 02 00 F4,OK
15,3.3433,reopen,200,5,FF 09 02 00 F4,PARTIAL_5
16,3.6463,reopen,200,5,FF 09 02 00 F4,PARTIAL_5
17,3.9493,reopen,200,5,FF 09 02 00 F4,PARTIAL_5
18,4.2523,reopen,200,5,FF 09 02 00 F4,PARTIAL_5
19,4.5552,reopen,200,5,FF 09 02 00 F4,PARTIAL_5
20,4.8583,reopen,200,5,FF 09 02 00 F4,PARTIAL_5
21,5.1613,reopen,200,5,FF 09 02 00 F4,PARTIAL_5
22,5.4643,reopen,200,5,FF 09 02 00 F4,PARTIAL_5
23,5.7673,reopen,200,5,FF 09 02 00 F4,PARTIAL_5
24,6.0706,reopen,200,6,FF FF 09 02 00 F4,OK
25,6.2733,reopen,200,0,—,MISS
26,6.5762,reopen,200,5,FF 09 02 00 F4,PARTIAL_5
27,6.8792,reopen,200,5,FF 09 02 00 F4,PARTIAL_5
28,7.1823,reopen,200,5,FF 09 02 00 F4,PARTIAL_5
29,7.4852,reopen,200,5,FF 09 02 00 F4,PARTIAL_5
30,7.7884,reopen,200,6,FF FF 09 02 00 F4,OK
31,7.9913,reopen,200,0,—,MISS
32,8.2943,reopen,200,5,FF 09 02 00 F4,PARTIAL_5
33,8.5972,reopen,200,5,FF 09 02 00 F4,PARTIAL_5
34,8.9002,reopen,200,5,FF 09 02 00 F4,PARTIAL_5
35,9.2031,reopen,200,5,FF 09 02 00 F4,PARTIAL_5
36,9.5061,reopen,200,5,FF 09 02 00 F4,PARTIAL_5
37,9.809,reopen,200,5,FF 09 02 00 F4,PARTIAL_5
38,10.1121,reopen,200,5,FF 09 02 00 F4,PARTIAL_5
39,10.4151,reopen,200,5,FF 09 02 00 F4,PARTIAL_5
40,10.7181,reopen,200,5,FF 09 02 00 F4,PARTIAL_5
41,11.0211,reopen,200,5,FF 09 02 00 F4,PARTIAL_5
42,11.3243,reopen,200,5,FF 09 02 00 F4,PARTIAL_5
43,11.6273,reopen,200,5,FF 09 02 00 F4,PARTIAL_5
44,11.9303,reopen,200,5,FF 09 02 00 F4,PARTIAL_5
45,12.2332,reopen,200,5,FF 09 02 00 F4,PARTIAL_5
46,12.5362,reopen,200,5,FF 09 02 00 F4,PARTIAL_5
47,12.8391,reopen,200,5,FF 09 02 00 F4,PARTIAL_5
48,13.1422,reopen,200,6,FF FF 09 02 00 F4,OK
49,13.345,reopen,200,0,—,MISS
50,13.6481,reopen,200,5,FF 09 02 00 F4,PARTIAL_5
51,13.9511,reopen,200,5,FF 09 02 00 F4,PARTIAL_5
52,14.2541,reopen,200,5,FF 09 02 00 F4,PARTIAL_5
53,14.5571,reopen,200,5,FF 09 02 00 F4,PARTIAL_5
54,14.86,reopen,200,5,FF 09 02 00 F4,PARTIAL_5
55,15.163,reopen,200,5,FF 09 02 00 F4,PARTIAL_5
56,15.466,reopen,200,5,FF 09 02 00 F4,PARTIAL_5
57,15.769,reopen,200,5,FF 09 02 00 F4,PARTIAL_5
58,16.072,reopen,200,5,FF 09 02 00 F4,PARTIAL_5
59,16.3751,reopen,200,5,FF 09 02 00 F4,PARTIAL_5
60,16.678,reopen,200,5,FF 09 02 00 F4,PARTIAL_5
61,16.9809,reopen,200,5,FF 09 02 00 F4,PARTIAL_5
62,17.2838,reopen,200,5,FF 09 02 00 F4,PARTIAL_5
63,17.5868,reopen,200,5,FF 09 02 00 F4,PARTIAL_5
64,17.8898,reopen,200,5,FF 09 02 00 F4,PARTIAL_5
65,18.1928,reopen,200,5,FF 09 02 00 F4,PARTIAL_5
66,18.4958,reopen,200,5,FF 09 02 00 F4,PARTIAL_5
67,18.7987,reopen,200,5,FF 09 02 00 F4,PARTIAL_5
68,19.1017,reopen,200,6,FF FF 09 02 00 F4,OK
69,19.3047,reopen,200,5,FF 09 02 00 F4,PARTIAL_5
70,19.6076,reopen,200,6,FF FF 09 02 00 F4,OK
71,19.8104,reopen,200,0,—,MISS
72,20.1133,reopen,200,5,FF 09 02 00 F4,PARTIAL_5
73,20.4162,reopen,200,0,—,MISS
74,20.7191,reopen,200,5,FF 09 02 00 F4,PARTIAL_5
75,21.022,reopen,200,5,FF 09 02 00 F4,PARTIAL_5
76,21.325,reopen,200,5,FF 09 02 00 F4,PARTIAL_5
77,21.628,reopen,200,5,FF 09 02 00 F4,PARTIAL_5
78,21.9311,reopen,200,5,FF 09 02 00 F4,PARTIAL_5
